SCHEDULE VII  
 
PERIODS OF WEAR OF ARTICLES OF CLOTHING  
 
[See Regulation 88 (2)]  
SL   Item         Period of  
No.               Wear in months  
 
1. Shirts half sleeves Polyester blended with      24 
 Cotton/shirts white  
 
2. Shorts whit e Polyester Blended with Cotton      24 
 
3. Boot ankle black leather         18 
 
4. Beret knitted one piece dark blue       24 
 
5. Cap peak plastic top         12 
 
6. Purgee white/Navy blue         9 
 
7. Shoes black leather         15 
 
8. Pag black (fifty) 1m X 200mm        6 
 
9. Bag Kit Seaman         30 
 
10. Housewife, Refil for         24 
 
11. Laces Boot black spare         3 
 
12. Stockings White Nylon         6 
 
13. Towels ordinary         6 
 
14. Badges Rank MCPO/CPO        24 
 
15. (a) Badges, Cap/Beret/Pugree, MCPO /CPO      36 
  
 (b) Badges, Cap/Beret/Pugree, PO       36 
 
 © Badges, Cap/Beret/Pugree, Jr. Sailors      36 
 
16. Overall Navy blue         12 
 
17. Trousers Navy Blue         12 
 
18. Shirts Sky blue          12 
 
19. Flashes shoulder         48
